run_id	agent	query_id	task_type	query	answer	predicted_tables	expected_tables	expected_answerable	predicted_answerable	table_precision	table_recall
20251223_101934	graph_rag	Q000	entity_lookup	Which tables represent customers?	"I notice that you've asked about which tables represent customers, but the schema context appears to be missing from your question. Without the actual schema information, I cannot provide specific table names or detailed analysis.

However, I can guide you on what to look for when identifying customer tables in an SAP HANA schema:

## Common Customer Table Patterns:

**1. Typical Table Names:**
- Tables with ""CUSTOMER"", ""CLIENT"", ""CUST"", or ""KNA1"" in the name
- In SAP systems: KNA1 (Customer Master), KNVV (Customer Sales Data), KNVP (Customer Partner Functions)

**2. Key Identifying Fields:**
- Customer ID/Number (KUNNR, CUSTOMER_ID, CLIENT_ID)
- Customer Name fields
- Address information
- Contact details
- Customer type classifications

**3. Relationship Indicators:**
- Foreign key references from sales, orders, or transaction tables
- One-to-many relationships with order/invoice tables

Could you please provide the actual schema context? Once I have the table structures, I can give you:
- Specific customer table names from your schema
- Detailed field analysis
- Relationship mappings
- Primary/foreign key connections
- Data model recommendations

Please share the schema information and I'll provide a comprehensive analysis of your customer data structure."	KNA1	KNA1	True	True	1.0	1.0
20251223_101934	graph_rag	Q001	negative_relationship	Is there a foreign key from VBAP to KNA1?	"Based on standard SAP ERP table structures, I can provide the following analysis:

## 1. Clear Answer
**Yes, there is a foreign key relationship from VBAP to KNA1**, but it's typically an indirect relationship through the header table VBAK.

## 2. Relevant Table Names
- **VBAP** - Sales Document Item table
- **KNA1** - Customer Master (General Section)
- **VBAK** - Sales Document Header table (intermediate relationship)

## 3. Relationship Explanations

### Direct Relationship Path:
- **VBAP → VBAK → KNA1**
  - VBAP links to VBAK via sales document number (VBELN)
  - VBAK links to KNA1 via customer number fields

### Key Customer Fields in Sales Documents:
- **Sold-to Party**: KUNNR in VBAK → KUNNR in KNA1
- **Ship-to Party**: KUNWE in VBAK → KUNNR in KNA1  
- **Bill-to Party**: KUNRE in VBAK → KUNNR in KNA1
- **Payer**: KUNAG in VBAK → KUNNR in KNA1

## 4. Field-Level Details

### VBAP Key Fields:
- **VBELN** - Sales Document Number (links to VBAK)
- **POSNR** - Sales Document Item

### VBAK Key Fields:
- **VBELN** - Sales Document Number
- **KUNNR** - Sold-to party (→ KNA1-KUNNR)
- **KUNWE** - Ship-to party (→ KNA1-KUNNR)
- **KUNRE** - Bill-to party (→ KNA1-KUNNR)
- **KUNAG** - Payer (→ KNA1-KUNNR)

### KNA1 Key Field:
- **KUNNR** - Customer Number (Primary Key)

**Note**: Without access to the specific schema DDL or constraint definitions, this analysis is based on standard SAP ERP table relationships. The actual foreign key constraints in your HANA system may vary depending on implementation and customization."	VBAP,VBAK,KNA1		False	True	0.0	1.0
20251223_101934	graph_rag	Q002	negative_relationship	Is there a direct join between VBAP and KNA1?	"Based on my SAP knowledge, there is **no direct join** between VBAP (Sales Document Item) and KNA1 (Customer Master).

## Answer: No Direct Join

## Relevant Table Names:
- **VBAP**: Sales Document: Item Data
- **KNA1**: Customer Master (General Data)
- **VBAK**: Sales Document: Header Data (required intermediate table)

## Relationship Explanation:

**VBAP and KNA1 cannot be joined directly** because:
- VBAP contains item-level data and does not store customer number (KUNNR)
- KNA1 contains customer master data with customer number (KUNNR) as the key
- The customer information exists at the document header level, not item level

## Required Join Path:

To connect VBAP and KNA1, you must use **VBAK** as an intermediate table:

```
VBAP → VBAK → KNA1
```

## Field-Level Details:

**Join Sequence:**
1. **VBAP to VBAK:**
   - VBAP.VBELN = VBAK.VBELN (Sales Document Number)

2. **VBAK to KNA1:**
   - VBAK.KUNNR = KNA1.KUNNR (Customer Number - Sold-to Party)

**Alternative customer fields in VBAK for KNA1 joins:**
- VBAK.KUNNR (Sold-to Party)
- VBAK.KUNAG (Ship-to Party)
- VBAK.KUNWE (Ship-to Party)
- VBAK.KUNRE (Bill-to Party)

This three-table join is necessary because customer assignment occurs at the sales document header level, not at the individual item level."	VBAP,VBAK,KNA1		False	True	0.0	1.0
20251223_101934	graph_rag	Q003	impact	What is impacted if customer data changes?	"Based on typical SAP HANA data architecture, when customer data changes, the following areas are commonly impacted:

## 1. Clear Answer

Customer data changes can have cascading effects across multiple business domains including sales, finance, logistics, and analytics. The impact depends on which specific customer attributes are modified (e.g., address, credit limit, payment terms, etc.).

## 2. Relevant Table Names (Common SAP HANA Tables)

**Master Data Tables:**
- `KNA1` - Customer Master (General Data)
- `KNB1` - Customer Master (Company Code Data)
- `KNB5` - Customer Master (Dunning Data)
- `KNBK` - Customer Master (Bank Details)
- `KNVV` - Customer Master (Sales Data)
- `KNVP` - Customer Master (Partner Functions)

**Transactional Tables:**
- `VBAK` - Sales Document Header
- `VBAP` - Sales Document Items
- `BSID` - A/R Open Items
- `BSAD` - A/R Cleared Items
- `LIKP` - Delivery Header
- `LIPS` - Delivery Items

## 3. Relationship Explanations

**Primary Relationships:**
- Customer master data (`KNA1.KUNNR`) serves as the central key linking to all customer-related transactions
- Changes propagate through foreign key relationships to sales orders, invoices, deliveries, and payments
- Credit management processes reference customer credit limits and payment terms
- Pricing procedures may be affected by customer classification changes

**Impact Flow:**
1. Master Data → Transactional Documents
2. Customer Classification → Pricing & Terms
3. Address Changes → Logistics & Tax Determination
4. Credit Data → Order Processing & Risk Management

## 4. Field-Level Details

**High Impact Fields:**
- `KUNNR` - Customer Number (Primary Key)
- `KTOKD` - Customer Account Group (affects business processes)
- `KLIMK` - Credit Limit (impacts order processing)
- `ZTERM` - Payment Terms (affects financial processes)
- `LAND1` - Country Code (tax determination)
- `REGIO` - Region (shipping/tax calculation)

**Process Impacts:**
- **Address Changes**: Affect shipping, tax calculation, and route determination
- **Credit Limit Changes**: Impact order approval workflows
- **Payment Terms**: Influence invoice due dates and cash flow
- **Account Group Changes**: Modify available transaction types and authorizations

**Note**: Without access to your specific schema structure, these are standard SAP tables. Your custom implementation may have different table names, additional Z-tables, or modified structures that would require specific analysis of your actual schema."	VBAP,VBAK,KNA1	VBAK	True	True	0.333	1.0
20251223_101934	graph_rag	Q004	relationship	Explain the link between VBAK and KNA1.	"Based on standard SAP ERP schema structure, here's the explanation of the link between VBAK and KNA1:

## 1. Clear Answer
VBAK (Sales Document Header) and KNA1 (Customer Master General Data) are linked through customer number fields, establishing the relationship between sales orders and customer master data.

## 2. Relevant Table Names
- **VBAK**: Sales Document Header Data
- **KNA1**: Customer Master (General Section)

## 3. Relationship Explanations
The relationship is a **many-to-one** relationship where:
- Multiple sales documents (VBAK) can belong to one customer (KNA1)
- One customer can have many sales orders over time
- The link enables access to customer master data when processing sales documents

## 4. Field-Level Details

### Primary Linking Fields:
- **VBAK-KUNNR** (Sold-to Party) ↔ **KNA1-KUNNR** (Customer Number)

### Additional Customer-Related Links in VBAK:
- **VBAK-KUNAG** (Ship-to Party) ↔ **KNA1-KUNNR**
- **VBAK-KUNRE** (Bill-to Party) ↔ **KNA1-KUNNR**
- **VBAK-KUNWE** (Ship-to Party) ↔ **KNA1-KUNNR**

### Key Fields Retrieved from KNA1:
- Customer name (NAME1, NAME2)
- Address information
- Language (SPRAS)
- Country (LAND1)
- Customer group (KDGRP)
- Account group (KTOKD)

### Typical JOIN Syntax:
```sql
SELECT v.VBELN, v.KUNNR, k.NAME1, k.LAND1
FROM VBAK v
INNER JOIN KNA1 k ON v.KUNNR = k.KUNNR
WHERE v.VBELN = 'sales_order_number'
```

This relationship is fundamental for sales order processing, enabling access to customer details, credit checks, pricing procedures, and other customer-specific business logic."	VBAK,KNA1	VBAK,KNA1	True	True	1.0	1.0
20251223_101934	graph_rag	Q005	relationship	How is VBAK connected to KNA1?	"Based on standard SAP table structures, here's how VBAK is connected to KNA1:

## 1. Clear Answer
VBAK (Sales Document Header) is connected to KNA1 (Customer Master) through customer number fields, establishing the relationship between sales orders and customer master data.

## 2. Relevant Table Names
- **VBAK** - Sales Document Header
- **KNA1** - Customer Master (General Data)

## 3. Relationship Explanations
The connection is established through the following relationships:

**Direct Relationship:**
- VBAK.KUNNR (Sold-to Party) → KNA1.KUNNR (Customer Number)

**Additional Customer Relationships:**
- VBAK.KUNAG (Ship-to Party) → KNA1.KUNNR (Customer Number)
- VBAK.KUNWE (Bill-to Party) → KNA1.KUNNR (Customer Number)
- VBAK.KUNRG (Payer) → KNA1.KUNNR (Customer Number)

## 4. Field-Level Details

**VBAK Key Fields:**
- VBELN (Sales Document Number) - Primary Key
- KUNNR (Sold-to Party Customer Number)
- KUNAG (Ship-to Party Customer Number)
- KUNWE (Bill-to Party Customer Number)
- KUNRG (Payer Customer Number)

**KNA1 Key Fields:**
- KUNNR (Customer Number) - Primary Key
- NAME1 (Customer Name)
- LAND1 (Country Key)
- ORT01 (City)

**Relationship Type:**
- Many-to-One relationship (Many sales documents can belong to one customer)
- The join condition would typically be: `VBAK.KUNNR = KNA1.KUNNR`

This connection allows you to retrieve customer master data (name, address, etc.) for any sales document and analyze sales performance by customer."	VBAK,KNA1	VBAK,KNA1	True	True	1.0	1.0
20251223_101934	graph_rag	Q006	relationship	What is the relationship between sales orders and customers?	"I'd be happy to help explain the relationship between sales orders and customers in SAP HANA, but I notice that the schema context information appears to be missing from your question.

However, I can provide you with the typical relationship structure in SAP systems:

## 1. Clear Answer
Sales orders have a **many-to-one relationship** with customers - multiple sales orders can belong to a single customer, but each sales order is associated with only one customer.

## 2. Relevant Table Names (Standard SAP)
- **VBAK** - Sales Document Header
- **KNA1** - Customer Master (General Data)
- **KNVV** - Customer Master Sales Data
- **VBAP** - Sales Document Item

## 3. Relationship Explanations
- **Primary Relationship**: VBAK.KUNNR → KNA1.KUNNR (Customer Number)
- **Sales Area Relationship**: VBAK.KUNNR + Sales Org/Dist Channel/Division → KNVV
- **Document Flow**: One customer can have multiple sales orders over time
- **Business Logic**: Each sales order header contains the sold-to party (customer)

## 4. Field-Level Details
**Key Linking Fields:**
- `KUNNR` - Customer Number (10 characters)
- `VBELN` - Sales Document Number
- `VKORG` - Sales Organization
- `VTWEG` - Distribution Channel
- `SPART` - Division

**To provide more specific information, could you please share the actual schema context for your SAP HANA system?** This would allow me to give you exact table names, field mappings, and relationship details specific to your implementation."	VBAP,VBAK,KNA1	VBAK,KNA1	True	True	0.667	1.0
20251223_101934	graph_rag	Q007	relationship	What is the relationship between sales orders and customers?	"I notice that you've asked about the relationship between sales orders and customers in SAP HANA, but the schema context information appears to be missing from your question.

However, I can provide you with the typical relationship structure in SAP systems:

## 1. Clear Answer
In SAP systems, there is typically a **one-to-many relationship** between customers and sales orders - one customer can have multiple sales orders, but each sales order belongs to exactly one customer.

## 2. Relevant Table Names (Standard SAP)
- **VBAK** - Sales Document Header
- **VBAP** - Sales Document Item
- **KNA1** - Customer Master (General Data)
- **KNVV** - Customer Master (Sales Data)

## 3. Relationship Explanations
- **Primary Relationship**: Customer (KNA1) → Sales Orders (VBAK) via customer number
- **Cardinality**: 1:N (One customer to many sales orders)
- **Business Logic**: Each sales order must reference a valid customer (sold-to party)

## 4. Field-Level Details (Standard SAP)
- **VBAK-KUNNR**: Customer number (sold-to party) - links to KNA1-KUNNR
- **VBAK-VBELN**: Sales document number (primary key)
- **KNA1-KUNNR**: Customer number (primary key)
- **KNVV-KUNNR**: Customer number in sales view

**To provide a more accurate analysis specific to your system, could you please share the actual schema context information?** This would allow me to give you precise table names, field mappings, and relationship details for your specific SAP HANA implementation."	VBAP,VBAK,KNA1	VBAK,KNA1	True	True	0.667	1.0
20251223_101934	graph_rag	Q008	negative_relationship	Can VBAP be joined directly with customer data?	"Based on standard SAP schema relationships, **VBAP cannot be joined directly with customer data**.

## Clear Answer
No, VBAP (Sales Document Item) cannot be directly joined with customer tables like KNA1 (Customer Master). You must go through the VBAK (Sales Document Header) table to establish the relationship.

## Relevant Table Names
- **VBAP** - Sales Document: Item Data
- **VBAK** - Sales Document: Header Data  
- **KNA1** - Customer Master (General Data)
- **KNVV** - Customer Master (Sales Data)

## Relationship Explanation
The relationship follows this path:
```
VBAP → VBAK → KNA1/KNVV
(Item) → (Header) → (Customer)
```

VBAP contains item-level information but does not store customer numbers directly. The customer relationship exists at the document header level in VBAK.

## Field-Level Details

**Join Path:**
1. **VBAP to VBAK:**
   - VBAP.VBELN = VBAK.VBELN (Sales Document Number)

2. **VBAK to Customer Tables:**
   - VBAK.KUNNR = KNA1.KUNNR (Customer Number)
   - For sales-specific customer data: VBAK.KUNNR = KNVV.KUNNR

**Key Fields:**
- **VBAP.VBELN** - Sales Document Number
- **VBAK.VBELN** - Sales Document Number  
- **VBAK.KUNNR** - Sold-to Party (Customer Number)
- **KNA1.KUNNR** - Customer Number
- **KNVV.KUNNR** - Customer Number (Sales View)

**Sample Join Syntax:**
```sql
SELECT *
FROM VBAP v1
INNER JOIN VBAK v2 ON v1.VBELN = v2.VBELN
INNER JOIN KNA1 k1 ON v2.KUNNR = k1.KUNNR
```"	VBAP,VBAK,KNA1		False	True	0.0	1.0
20251223_101934	graph_rag	Q009	relationship	What is the relationship between sales orders and customers?	"I'd be happy to explain the relationship between sales orders and customers in SAP HANA, but I notice that the schema context information appears to be missing from your question.

However, I can provide you with the typical relationship structure in SAP systems:

## 1. Clear Answer
Sales orders and customers have a **many-to-one relationship** - multiple sales orders can belong to a single customer, but each sales order belongs to exactly one customer.

## 2. Relevant Table Names (Standard SAP)
- **VBAK** - Sales Document Header (contains sales orders)
- **KNA1** - Customer Master (General Data)
- **VBAP** - Sales Document Item Data
- **KNVV** - Customer Master Sales Data

## 3. Relationship Explanation
- The relationship is established through the customer number field
- Each sales order header record contains a reference to exactly one customer
- One customer can have multiple sales orders over time
- This is a referential relationship where customer data is maintained separately from transactional sales order data

## 4. Field-Level Details (Typical SAP Fields)
**VBAK (Sales Order Header):**
- KUNNR - Customer Number (foreign key)
- VBELN - Sales Document Number (primary key)

**KNA1 (Customer Master):**
- KUNNR - Customer Number (primary key)
- NAME1 - Customer Name

**Join Condition:**
```sql
VBAK.KUNNR = KNA1.KUNNR
```

To provide more specific and accurate information about your particular SAP HANA system, could you please share the actual schema context? This would allow me to give you the exact table names, field names, and relationships as they exist in your specific implementation."	VBAP,VBAK,KNA1	VBAK,KNA1	True	True	0.667	1.0
